age_group,year,state,voted,yearSDR
18-24,1982,Louisiana,0.12244897959183673,NA
18-24,1982,Maine,0.3944954128440367,1978
18-24,1982,Maryland,0.2606060606060606,2016
18-24,1982,Massachusetts,0.289544235924933,NA
18-24,1982,Michigan,0.3195718654434251,NA
18-24,1982,Minnesota,0.45481049562682213,1978
18-24,1982,Mississippi,0.30196078431372547,NA
18-24,1982,Missouri,0.30448717948717946,NA
18-24,1982,Montana,0.37050359712230213,2006
18-24,1982,Nebraska,0.2265625,NA
18-24,1982,Nevada,0.18867924528301888,NA
18-24,1982,New Hampshire,0.17010309278350516,1996
18-24,1982,New Jersey,0.2993492407809111,NA
18-24,1982,New Mexico,0.3005181347150259,NA
18-24,1982,New York,0.2715920915712799,NA
18-24,1982,North Carolina,0.17484662576687116,2008
18-24,1982,Ohio,0.2897727272727273,2006
18-24,1982,Oklahoma,0.21052631578947367,NA
18-24,1982,Oregon,0.38144329896907214,NA
18-24,1982,Pennsylvania,0.22448979591836735,NA
18-24,1982,Rhode Island,0.3006535947712418,NA
18-24,1982,South Carolina,0.1643835616438356,NA
18-24,1982,South Dakota,0.30201342281879195,NA
18-24,1982,Tennessee,0.2619047619047619,NA
18-24,1982,Texas,0.2,NA
18-24,1982,Utah,0.34219269102990035,2018
18-24,1982,Vermont,0.25149700598802394,2018
18-24,1982,Virginia,0.21700879765395895,NA
18-24,1982,Washington,0.24369747899159663,NA
18-24,1982,West Virginia,0.28512396694214875,NA
18-24,1982,Wisconsin,0.24475524475524477,1978
18-24,1982,Wyoming,0.28191489361702127,1994
18-24,1984,Alabama,0.423963133640553,NA
18-24,1984,Alaska,0.3472222222222222,NA
18-24,1984,Arizona,0.33191489361702126,NA
18-24,1984,Arkansas,0.3803680981595092,NA
18-24,1984,California,0.45592705167173253,2018
18-24,1984,Colorado,0.4100418410041841,2014
18-24,1984,Connecticut,0.45685279187817257,2014
18-24,1984,Delaware,0.2981366459627329,NA
18-24,1984,Florida,0.35555555555555557,NA
18-24,1984,Georgia,0.3515358361774744,NA
18-24,1984,Hawaii,0.40131578947368424,2018
18-24,1984,Idaho,0.40930232558139534,1994
18-24,1984,Illinois,0.4984076433121019,2006
18-24,1984,Indiana,0.45051194539249145,NA
18-24,1984,Iowa,0.4453125,2008
18-24,1984,Kansas,0.4084507042253521,NA
18-24,1984,Kentucky,0.3788546255506608,NA
18-24,1984,Louisiana,0.4186046511627907,NA
18-24,1984,Maine,0.49748743718592964,1978
18-24,1984,Maryland,0.45323741007194246,2016
18-24,1984,Massachusetts,0.40304182509505704,NA
18-24,1984,Michigan,0.45368916797488223,NA
18-24,1984,Minnesota,0.6153846153846154,1978
18-24,1984,Mississippi,0.5421245421245421,NA
18-24,1984,Missouri,0.47038327526132406,NA
18-24,1984,Montana,0.5391304347826087,2006
18-24,1984,Nebraska,0.3422459893048128,NA
18-24,1984,Nevada,0.36363636363636365,NA
18-24,1984,New Hampshire,0.29850746268656714,1996
18-24,1984,New Jersey,0.4537037037037037,NA
18-24,1984,New Mexico,0.35294117647058826,NA
18-24,1984,New York,0.4292114695340502,NA
18-24,1984,North Carolina,0.3695652173913043,2008
18-24,1984,Ohio,0.4693572496263079,2006
18-24,1984,Oklahoma,0.4470588235294118,NA
18-24,1984,Oregon,0.4523809523809524,NA
18-24,1984,Pennsylvania,0.41915227629513346,NA
18-24,1984,Rhode Island,0.4772727272727273,NA
18-24,1984,South Carolina,0.33482142857142855,NA
18-24,1984,South Dakota,0.4796747967479675,NA
18-24,1984,Tennessee,0.4875,NA
18-24,1984,Texas,0.37070063694267513,NA
18-24,1984,Utah,0.5229007633587787,2018
18-24,1984,Vermont,0.4260355029585799,2018
18-24,1984,Virginia,0.41304347826086957,NA
18-24,1984,Washington,0.39790575916230364,NA
18-24,1984,West Virginia,0.3626373626373626,NA
18-24,1984,Wisconsin,0.4928571428571429,1978
18-24,1984,Wyoming,0.40764331210191085,1994
18-24,1986,Alabama,0.3081081081081081,NA
18-24,1986,Alaska,0.2783018867924528,NA
18-24,1986,Arizona,0.30405405405405406,NA
18-24,1986,Arkansas,0.155,NA
18-24,1986,California,0.2919563058589871,2018
18-24,1986,Colorado,0.24324324324324326,2014
18-24,1986,Connecticut,0.21379310344827587,2014
18-24,1986,Delaware,0.19428571428571428,NA
